,April,Unnamed: 1
0,3,Foreign Exchange Rates - G.5 Foreign Exchange Rates - H.10
1,6,Aggregate Reserves of Depository Institutions and the Monetary Base - H.3 Factors Affecting Reserve Balances - H.4.1 Money Stock Measures - H.6
2,7,Consumer Credit - G.19 Assets and Liabilities of Commercial Banks in the U.S. - H.8
3,10,Foreign Exchange Rates - H.10
4,13,Aggregate Reserves of Depository Institutions and the Monetary Base - H.3 Factors Affecting Reserve Balances - H.4.1 Money Stock Measures - H.6
5,14,Assets and Liabilities of Commercial Banks in the U.S. - H.8
6,17,Foreign Exchange Rates - H.10
7,18,Industrial Production and Capacity Utilization - G.17
8,20,Aggregate Reserves of Depository Institutions and the Monetary Base - H.3 Factors Affecting Reserve Balances - H.4.1 Money Stock Measures - H.6
9,21,Assets and Liabilities of Commercial Banks in the U.S. - H.8
10,24,Foreign Exchange Rates - H.10
11,27,Aggregate Reserves of Depository Institutions and the Monetary Base - H.3 Factors Affecting Reserve Balances - H.4.1 Money Stock Measures - H.6
12,28,Assets and Liabilities of Commercial Banks in the U.S. - H.8 Finance Companies - G.20
